epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,987.101,1.30624,2.36474,1.76409,0.28776,0.68857,0.42494,0.21536,1.46028,4.52153,2.38102,0.000368168,0.000368168,0.000368168
2,2465.76,1.30512,1.80601,1.73776,0.68957,0.61113,0.5834,0.3,1.52283,2.5637,2.49374,0.00073119,0.00073119,0.00073119
3,3732.92,1.32609,1.60799,1.7414,0.49334,0.69927,0.615,0.32225,1.67511,1.72797,2.41529,0.00108688,0.00108688,0.00108688
4,4624.29,1.31005,1.45686,1.7218,0.50024,0.70626,0.64784,0.32748,1.57251,1.57683,2.35123,0.001078,0.001078,0.001078
5,5504.41,1.3051,1.40557,1.70583,0.49022,0.70393,0.57513,0.26819,1.87198,1.70028,2.75219,0.001067,0.001067,0.001067
6,6366.89,1.28929,1.32363,1.69595,0.48707,0.67525,0.57458,0.31876,1.46195,1.31847,2.18312,0.00105601,0.00105601,0.00105601
7,7227.95,1.2647,1.27825,1.67475,0.48461,0.66158,0.6206,0.33664,1.50194,1.32249,2.20998,0.00104501,0.00104501,0.00104501
8,8086,1.25833,1.24391,1.66782,0.47221,0.71638,0.6447,0.34264,1.54634,1.37604,2.29848,0.00103401,0.00103401,0.00103401
9,8943.9,1.22578,1.21185,1.64645,0.41402,0.59293,0.57974,0.35101,1.44129,1.36888,2.14369,0.00102301,0.00102301,0.00102301
10,9801.54,1.25776,1.18644,1.66363,0.55082,0.73348,0.66679,0.39005,1.46243,1.06956,2.1688,0.00101201,0.00101201,0.00101201
11,10660.2,1.2393,1.16702,1.65214,0.54293,0.80288,0.71471,0.41492,1.44614,1.12005,2.19738,0.00100101,0.00100101,0.00100101
12,11507.3,1.23115,1.15997,1.64327,0.61724,0.81357,0.73844,0.43325,1.4709,0.97559,2.1631,0.000990012,0.000990012,0.000990012
13,12355.1,1.23889,1.12597,1.6483,0.58511,0.77986,0.73538,0.41831,1.46451,1.05816,2.1663,0.000979013,0.000979013,0.000979013
14,13216.1,1.2208,1.11982,1.62833,0.51832,0.84455,0.69283,0.40288,1.45127,1.04958,2.1613,0.000968014,0.000968014,0.000968014
15,14072.3,1.22021,1.09497,1.6362,0.61619,0.81315,0.73903,0.43763,1.40403,0.98244,2.1109,0.000957015,0.000957015,0.000957015
16,14917.2,1.2163,1.09503,1.62629,0.63751,0.80725,0.72851,0.43048,1.44365,0.92557,2.11665,0.000946016,0.000946016,0.000946016
17,15768,1.21209,1.07396,1.62536,0.50777,0.78349,0.69642,0.41176,1.40953,1.03444,2.12379,0.000935018,0.000935018,0.000935018
18,16627.8,1.22474,1.09677,1.63667,0.70094,0.76863,0.78816,0.46802,1.42105,0.91078,2.11449,0.000924019,0.000924019,0.000924019
19,17486.5,1.20005,1.06291,1.61201,0.63285,0.79829,0.7588,0.44388,1.38893,0.92498,2.11606,0.00091302,0.00091302,0.00091302
20,18345.4,1.2051,1.04862,1.6137,0.68643,0.80796,0.79046,0.47047,1.37211,0.93751,2.0794,0.000902021,0.000902021,0.000902021
21,19207.8,1.19823,1.03605,1.61471,0.66131,0.81746,0.75893,0.41227,1.54617,0.96567,2.22537,0.000891022,0.000891022,0.000891022
22,20073.6,1.19248,1.04357,1.60922,0.71813,0.85661,0.82475,0.49193,1.40715,0.81603,2.10177,0.000880023,0.000880023,0.000880023
23,20931.8,1.19085,1.03847,1.61296,0.63235,0.83767,0.76031,0.45948,1.4169,0.90253,2.12256,0.000869024,0.000869024,0.000869024
