epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,882.187,1.31048,2.38217,1.7677,0.56077,0.49861,0.43832,0.19764,1.69381,3.44349,2.60072,0.000368142,0.000368142,0.000368142
2,1710.79,1.30771,1.77732,1.73259,0.69596,0.35983,0.38125,0.15184,1.75223,2.22389,2.7565,0.000731164,0.000731164,0.000731164
3,2529.33,1.296,1.58329,1.71421,0.54015,0.71829,0.65319,0.32909,1.58168,1.51164,2.36229,0.00108685,0.00108685,0.00108685
4,3331.94,1.31003,1.45252,1.72081,0.64573,0.67194,0.67827,0.3825,1.45695,1.34274,2.27167,0.001078,0.001078,0.001078
5,4150.08,1.29237,1.37512,1.70148,0.53729,0.733,0.67721,0.36281,1.57956,1.24552,2.3543,0.001067,0.001067,0.001067
6,4975.53,1.2861,1.31122,1.68855,0.49378,0.78099,0.63554,0.36154,1.52447,1.20257,2.23973,0.00105601,0.00105601,0.00105601
7,5810.91,1.28166,1.27679,1.69035,0.58448,0.81722,0.67298,0.39238,1.4171,1.16332,2.19499,0.00104501,0.00104501,0.00104501
8,6637.39,1.246,1.21898,1.6558,0.55013,0.78168,0.71122,0.40875,1.40579,1.09325,2.16912,0.00103401,0.00103401,0.00103401
9,7463.74,1.25935,1.20974,1.6663,0.60686,0.77943,0.73754,0.42539,1.43311,1.02663,2.19553,0.00102301,0.00102301,0.00102301
10,8296.68,1.24098,1.17418,1.65008,0.57583,0.76938,0.70937,0.41407,1.51732,1.02796,2.21843,0.00101201,0.00101201,0.00101201
11,9122.73,1.24885,1.15042,1.65766,0.55012,0.74993,0.67941,0.40166,1.46251,1.02818,2.15943,0.00100101,0.00100101,0.00100101
12,9934,1.24555,1.14857,1.65193,0.6433,0.78053,0.75949,0.43549,1.49581,0.97131,2.23128,0.000990012,0.000990012,0.000990012
13,10755.4,1.22983,1.12077,1.64856,0.65662,0.77597,0.73838,0.43045,1.47703,0.92492,2.19188,0.000979013,0.000979013,0.000979013
14,11574.1,1.22514,1.09851,1.63542,0.68332,0.77226,0.7383,0.42992,1.45649,0.91624,2.17986,0.000968014,0.000968014,0.000968014
15,12399.5,1.20434,1.08204,1.62514,0.67744,0.70403,0.68218,0.38596,1.5378,1.0503,2.20654,0.000957015,0.000957015,0.000957015
16,13220.2,1.21785,1.08673,1.62893,0.62396,0.74647,0.71632,0.37127,1.58884,1.02535,2.31634,0.000946016,0.000946016,0.000946016
17,14038.4,1.21557,1.08491,1.62922,0.55389,0.79278,0.73729,0.42711,1.41975,0.93714,2.13695,0.000935018,0.000935018,0.000935018
18,14866.4,1.20288,1.05136,1.61715,0.68541,0.79381,0.76073,0.47082,1.38041,0.84925,2.07646,0.000924019,0.000924019,0.000924019
19,15704,1.2104,1.06105,1.62405,0.65072,0.84644,0.78561,0.46094,1.42852,0.93436,2.15641,0.00091302,0.00091302,0.00091302
20,16533.3,1.21335,1.04969,1.62279,0.61625,0.79935,0.73045,0.43076,1.41215,0.90476,2.09632,0.000902021,0.000902021,0.000902021
21,17364.8,1.20327,1.04567,1.61839,0.69683,0.85808,0.79337,0.47176,1.3876,0.8647,2.11668,0.000891022,0.000891022,0.000891022
22,18198.7,1.18691,1.03631,1.60675,0.68992,0.86343,0.83152,0.50024,1.39727,0.82909,2.09742,0.000880023,0.000880023,0.000880023
23,19027.3,1.19179,1.02566,1.60519,0.69128,0.85445,0.81953,0.49457,1.4067,0.82397,2.12502,0.000869024,0.000869024,0.000869024
24,19851.2,1.18616,1.01386,1.59642,0.68105,0.87784,0.77724,0.4626,1.43543,0.85317,2.12244,0.000858025,0.000858025,0.000858025
