epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1093.8,1.28148,2.70804,1.76794,0.50793,0.63837,0.56347,0.29941,1.54609,2.84352,2.52628,0.000368168,0.000368168,0.000368168
2,2137.14,1.32227,1.79217,1.75224,0.3357,0.41399,0.34703,0.13467,1.72962,3.56359,2.65341,0.00073119,0.00073119,0.00073119
3,3229.47,1.34485,1.60144,1.74863,0.39683,0.74766,0.60409,0.31292,1.62443,1.72596,2.56616,0.00108688,0.00108688,0.00108688
4,4344.17,1.34001,1.44035,1.74313,0.826,0.40801,0.45153,0.23637,1.6736,2.03665,2.56476,0.001078,0.001078,0.001078
5,5443.6,1.30408,1.33792,1.72247,0.44273,0.74053,0.61754,0.29641,1.75968,1.38009,2.5524,0.001067,0.001067,0.001067
6,6536.17,1.29241,1.2694,1.70057,0.40142,0.71305,0.53559,0.26559,1.72817,1.5886,2.72193,0.00105601,0.00105601,0.00105601
7,7635.9,1.28798,1.22432,1.70352,0.54193,0.7731,0.69874,0.38276,1.578,1.09546,2.36109,0.00104501,0.00104501,0.00104501
8,8733.37,1.27279,1.17803,1.6827,0.59454,0.82641,0.69121,0.39123,1.4925,1.0585,2.26871,0.00103401,0.00103401,0.00103401
9,9823.36,1.27217,1.16539,1.68194,0.6117,0.74342,0.695,0.37404,1.5785,1.13226,2.33713,0.00102301,0.00102301,0.00102301
10,10915.9,1.26085,1.12686,1.66559,0.78479,0.67838,0.6716,0.40176,1.41489,1.02247,2.18527,0.00101201,0.00101201,0.00101201
11,12004.2,1.24623,1.13213,1.66643,0.59274,0.86715,0.71065,0.42696,1.4273,0.92313,2.16676,0.00100101,0.00100101,0.00100101
12,13083.3,1.24147,1.10003,1.65967,0.68933,0.58341,0.6542,0.30196,1.80113,1.27086,2.5748,0.000990012,0.000990012,0.000990012
13,14174.7,1.22926,1.10721,1.64875,0.53613,0.74593,0.64805,0.384,1.42934,1.05837,2.18159,0.000979013,0.000979013,0.000979013
14,15275.1,1.25067,1.08023,1.65182,0.60226,0.77748,0.69257,0.39059,1.50824,0.95031,2.24714,0.000968014,0.000968014,0.000968014
15,16366.9,1.22984,1.06249,1.64185,0.62238,0.79803,0.74192,0.42985,1.46229,0.91324,2.21463,0.000957015,0.000957015,0.000957015
16,17454.2,1.22792,1.07859,1.64289,0.59782,0.79668,0.71418,0.4106,1.44705,0.91306,2.20708,0.000946016,0.000946016,0.000946016
17,18542.5,1.2281,1.05928,1.64128,0.66634,0.8171,0.74919,0.45548,1.39158,0.87151,2.13816,0.000935018,0.000935018,0.000935018
18,19632.9,1.21699,1.0592,1.63436,0.65561,0.83251,0.75505,0.44745,1.41285,0.87059,2.20272,0.000924019,0.000924019,0.000924019
19,20711.9,1.20902,1.02839,1.62726,0.56439,0.7546,0.71238,0.42663,1.43376,0.93476,2.18533,0.00091302,0.00091302,0.00091302
20,21804.7,1.20405,1.0262,1.62101,0.72405,0.8313,0.80661,0.49052,1.41465,0.84345,2.127,0.000902021,0.000902021,0.000902021
21,22907.6,1.20865,1.01497,1.62226,0.68772,0.81961,0.77246,0.45256,1.44725,0.83602,2.1868,0.000891022,0.000891022,0.000891022
22,24005,1.21771,1.01631,1.62982,0.55544,0.72472,0.68949,0.41707,1.41748,0.96209,2.14708,0.000880023,0.000880023,0.000880023
23,25093.2,1.20439,0.9906,1.62266,0.69929,0.81684,0.80834,0.4728,1.46387,0.83189,2.19881,0.000869024,0.000869024,0.000869024
24,26180.5,1.20396,1.00222,1.62521,0.64819,0.83486,0.75409,0.46107,1.37793,0.78249,2.09994,0.000858025,0.000858025,0.000858025
25,27256.4,1.17623,0.98686,1.60103,0.72918,0.78845,0.79249,0.47969,1.40373,0.82343,2.12799,0.000847026,0.000847026,0.000847026
26,28334.5,1.19148,0.97374,1.61116,0.66774,0.83426,0.76352,0.48267,1.38135,0.77602,2.10378,0.000836027,0.000836027,0.000836027
27,29420.3,1.21562,0.9757,1.63033,0.72149,0.82382,0.82035,0.49893,1.38576,0.76105,2.09649,0.000825029,0.000825029,0.000825029
28,30513.5,1.19613,0.94753,1.61057,0.75464,0.8026,0.80148,0.48672,1.41222,0.77057,2.12825,0.00081403,0.00081403,0.00081403
29,31601.2,1.17096,0.95646,1.60007,0.63536,0.81811,0.72477,0.44854,1.3582,0.83573,2.10058,0.000803031,0.000803031,0.000803031
30,32689.8,1.17887,0.95713,1.60293,0.65073,0.84543,0.75487,0.46869,1.34356,0.78909,2.08364,0.000792032,0.000792032,0.000792032
