epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.016,0.72209,2.83639,1.33932,0.88946,0.47373,0.73016,0.54356,0.75591,7.04355,1.32736,0.000365461,0.000365461,0.000365461
2,954.594,0.71962,1.59671,1.31139,0.38595,0.48867,0.39341,0.19867,1.30368,7.0066,2.15033,0.000723653,0.000723653,0.000723653
3,1420.2,0.7175,1.36501,1.31222,0.43456,0.78458,0.66131,0.38231,1.04723,8.13188,1.47373,0.00106962,0.00106962,0.00106962
4,1887.48,0.7021,1.16164,1.29835,0.7971,0.77031,0.84433,0.6223,0.83504,7.84867,1.44446,0.00105601,0.00105601,0.00105601
5,2380.02,0.69027,1.0476,1.28338,0.57387,0.72053,0.6977,0.48846,0.84778,5.45937,1.4643,0.00103767,0.00103767,0.00103767
6,2837.55,0.65037,0.97251,1.24305,0.80386,0.79999,0.83445,0.66718,0.65159,2.93204,1.1311,0.00101934,0.00101934,0.00101934
7,3295.23,0.63825,0.8658,1.23567,0.6445,0.78701,0.78058,0.56875,0.85651,3.53638,1.4139,0.00100101,0.00100101,0.00100101
8,3782.38,0.63004,0.82497,1.24186,0.60099,0.6705,0.79882,0.58172,0.91612,5.49235,1.58502,0.000982679,0.000982679,0.000982679
9,4286.44,0.61089,0.78,1.228,0.68938,0.92369,0.92269,0.7492,0.6382,2.36905,1.14637,0.000964348,0.000964348,0.000964348
10,5144.62,0.58772,0.70343,1.21105,0.90317,0.8249,0.92351,0.71594,0.71706,1.44839,1.14862,0.000946016,0.000946016,0.000946016
11,5685.98,0.60954,0.71812,1.2141,0.80066,0.78336,0.88563,0.68203,0.70198,1.62125,1.18256,0.000927685,0.000927685,0.000927685
12,6120.34,0.60828,0.72183,1.21511,0.91674,0.91326,0.94254,0.80401,0.6086,1.3754,1.06431,0.000909353,0.000909353,0.000909353
13,6550.51,0.58037,0.66226,1.19757,0.89224,0.9532,0.93471,0.80031,0.56373,1.17477,1.01744,0.000891022,0.000891022,0.000891022
14,6997.17,0.5784,0.64864,1.19845,0.72556,0.89494,0.95774,0.79646,0.6343,1.58123,1.08632,0.000872691,0.000872691,0.000872691
15,7451.06,0.56413,0.58811,1.18102,0.92826,0.93689,0.94579,0.7797,0.63578,1.05206,1.04418,0.000854359,0.000854359,0.000854359
16,7900.19,0.55363,0.58618,1.17304,0.90129,0.90382,0.94019,0.78491,0.56356,0.91517,0.97868,0.000836027,0.000836027,0.000836027
17,8347.41,0.5568,0.57647,1.17924,0.92597,0.9567,0.94988,0.81703,0.54964,0.7785,0.98661,0.000817696,0.000817696,0.000817696
18,8797.7,0.5562,0.58762,1.17874,0.88691,0.93895,0.94088,0.80971,0.56715,0.81231,0.98376,0.000799365,0.000799365,0.000799365
19,9239.69,0.54005,0.5551,1.17139,0.9275,0.94947,0.94446,0.80579,0.5608,0.74539,0.97688,0.000781033,0.000781033,0.000781033
20,9684.77,0.55137,0.5587,1.16967,0.92863,0.9625,0.95158,0.84314,0.49896,0.76924,0.9168,0.000762702,0.000762702,0.000762702
21,10127.2,0.54184,0.55478,1.16384,0.94935,0.9646,0.95406,0.83327,0.52991,0.61856,0.93541,0.00074437,0.00074437,0.00074437
22,10571.8,0.5241,0.52295,1.15185,0.92157,0.9619,0.95303,0.80382,0.57862,0.63402,0.96454,0.000726038,0.000726038,0.000726038
23,11013.9,0.513,0.51142,1.14257,0.91795,0.92666,0.94572,0.81456,0.50174,0.71259,0.92155,0.000707707,0.000707707,0.000707707
24,11459.5,0.52752,0.5031,1.15215,0.94186,0.94502,0.9556,0.83215,0.52676,0.62305,0.94748,0.000689376,0.000689376,0.000689376
25,11907,0.54214,0.50967,1.16316,0.91474,0.89052,0.93852,0.82189,0.52368,0.64356,0.95192,0.000671044,0.000671044,0.000671044
26,12354.2,0.53799,0.48443,1.16082,0.93502,0.95889,0.95508,0.79967,0.5979,0.67848,1.00745,0.000652712,0.000652712,0.000652712
27,12803.7,0.50237,0.48074,1.13042,0.95265,0.94868,0.94915,0.83948,0.5027,0.63975,0.91197,0.000634381,0.000634381,0.000634381
28,13254.4,0.50651,0.46744,1.14711,0.92153,0.96437,0.97462,0.86762,0.47559,0.51166,0.89865,0.000616049,0.000616049,0.000616049
29,13700.9,0.50894,0.47606,1.13616,0.84845,0.92511,0.90916,0.77317,0.54772,0.76387,0.97718,0.000597718,0.000597718,0.000597718
30,14144.8,0.51821,0.47613,1.15146,0.92692,0.94544,0.96342,0.83739,0.55154,0.60877,0.93039,0.000579386,0.000579386,0.000579386
31,14586.5,0.47361,0.43839,1.1179,0.9252,0.95219,0.96069,0.81121,0.56712,0.97554,0.94714,0.000561055,0.000561055,0.000561055
32,15031.5,0.49592,0.43786,1.13488,0.95004,0.94038,0.95009,0.83298,0.50757,0.57865,0.92987,0.000542723,0.000542723,0.000542723
33,15472.3,0.5007,0.44953,1.13135,0.9352,0.95382,0.9512,0.82993,0.51363,0.55659,0.92935,0.000524392,0.000524392,0.000524392
