epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34449.3,1.14517,0.898,1.56864,0.72797,0.81058,0.82164,0.49672,1.377,0.71902,2.07031,0.000660045,0.000660045,0.000660045
43,35262.9,1.14009,0.90725,1.5663,0.76956,0.80365,0.81412,0.50526,1.37613,0.71365,2.06778,0.000649046,0.000649046,0.000649046
44,36075.9,1.12889,0.88285,1.5561,0.73902,0.86086,0.82414,0.50883,1.35988,0.72469,2.04841,0.000638047,0.000638047,0.000638047
45,36894.8,1.13097,0.87369,1.55304,0.68799,0.83131,0.80939,0.49878,1.36685,0.73746,2.06845,0.000627048,0.000627048,0.000627048
46,37716.9,1.13418,0.8854,1.57178,0.71781,0.88818,0.84108,0.51536,1.37206,0.70512,2.05775,0.000616049,0.000616049,0.000616049
47,38538.6,1.13526,0.87177,1.55899,0.72511,0.83745,0.811,0.49717,1.37893,0.68925,2.06892,0.000605051,0.000605051,0.000605051
48,39380.9,1.12425,0.88026,1.55484,0.74898,0.82208,0.81357,0.50389,1.36796,0.72949,2.05515,0.000594052,0.000594052,0.000594052
49,40212.5,1.12906,0.87757,1.55729,0.76076,0.83818,0.83057,0.50525,1.36136,0.69398,2.05566,0.000583053,0.000583053,0.000583053
50,41038.8,1.11763,0.86896,1.55397,0.69363,0.87281,0.80828,0.49127,1.38312,0.71092,2.06687,0.000572054,0.000572054,0.000572054
51,41861.9,1.10985,0.85812,1.55166,0.70657,0.86342,0.829,0.51258,1.35997,0.70357,2.05319,0.000561055,0.000561055,0.000561055
52,42680.4,1.11217,0.86872,1.54588,0.7668,0.81552,0.82803,0.51105,1.34624,0.72807,2.04883,0.000550056,0.000550056,0.000550056
53,43498.1,1.10687,0.86131,1.54159,0.76298,0.81787,0.82666,0.51549,1.3469,0.71014,2.03016,0.000539057,0.000539057,0.000539057
54,44318.5,1.1154,0.85164,1.55277,0.78321,0.80276,0.82158,0.51245,1.35469,0.6907,2.03775,0.000528058,0.000528058,0.000528058
55,45143.9,1.10101,0.84765,1.54303,0.75737,0.82071,0.84238,0.51227,1.35769,0.68894,2.05241,0.000517059,0.000517059,0.000517059
56,45962.7,1.10814,0.83606,1.55508,0.7344,0.81913,0.81875,0.50965,1.35464,0.68828,2.02271,0.00050606,0.00050606,0.00050606
57,46780.6,1.09449,0.83198,1.5393,0.75927,0.79561,0.80021,0.49896,1.35393,0.71162,2.0441,0.000495062,0.000495062,0.000495062
58,47598.1,1.09653,0.84688,1.54183,0.74891,0.85901,0.83629,0.51935,1.32991,0.6812,2.01547,0.000484063,0.000484063,0.000484063
59,48418.9,1.10995,0.83735,1.53634,0.72569,0.87898,0.83398,0.52105,1.35528,0.67976,2.0425,0.000473064,0.000473064,0.000473064
